사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020050700100212,2020년 5월 7일 10시,목요일,경상남도 밀양시 상남면,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,80세,상해없음,화물,남,49세,중상
2020050700100252,2020년 5월 7일 11시,목요일,경상남도 밀양시 삼문동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,23세,상해없음,승용,남,21세,경상
2020050700100492,2020년 5월 7일 17시,목요일,경상남도 밀양시 내일동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,여,71세,상해없음,보행자,남,57세,중상
2020050800100131,2020년 5월 8일 09시,금요일,경상남도 밀양시 내이동,중상사고,0,7,3,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,87세,중상,승용,남,45세,경상
2020051000100350,2020년 5월 10일 20시,일요일,경상남도 밀양시 무안면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,자전거,남,63세,중상
2020051400100421,2020년 5월 14일 17시,목요일,경상남도 밀양시 교동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,58세,상해없음,보행자,남,13세,경상
2020051600100191,2020년 5월 16일 11시,토요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,52세,상해없음,승용,남,28세,경상
2020051700100102,2020년 5월 17일 09시,일요일,경상남도 밀양시 상동면,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,보행자,남,5세,경상
2020051900100266,2020년 5월 19일 14시,화요일,경상남도 밀양시 상남면,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,건설기계,남,57세,상해없음,보행자,남,11세,경상
2020052000100158,2020년 5월 20일 09시,수요일,경상남도 밀양시 내이동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,화물,남,67세,상해없음,승용,남,49세,경상
2020052100100026,2020년 5월 21일 04시,목요일,경상남도 밀양시 삼문동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,19세,중상,화물,남,56세,기타불명
2020052100100322,2020년 5월 21일 14시,목요일,경상남도 밀양시 상동면,경상사고,0,0,2,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,이륜,남,27세,상해없음,승용,남,59세,경상
2020052200100107,2020년 5월 22일 08시,금요일,경상남도 밀양시 상남면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,57세,상해없음,승용,남,49세,경상
2020052400100183,2020년 5월 24일 12시,일요일,경상남도 밀양시 삼랑진읍,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,건조,맑음,기타 - 기타,승용,남,84세,상해없음,자전거,남,33세,중상
2020052400100212,2020년 5월 24일 13시,일요일,경상남도 밀양시 내이동,경상사고,0,0,4,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,46세,경상,화물,남,59세,경상
2020052500100062,2020년 5월 25일 07시,월요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,21세,상해없음,승용,여,63세,경상
2020052500100063,2020년 5월 25일 07시,월요일,경상남도 밀양시 부북면,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,건조,흐림,교차로 - 교차로안,승용,남,23세,경상,승용,남,21세,중상
2020052500100599,2020년 5월 25일 23시,월요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,흐림,교차로 - 교차로안,승용,남,27세,상해없음,자전거,여,59세,경상
2020052600100047,2020년 5월 26일 05시,화요일,경상남도 밀양시 하남읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,41세,상해없음,이륜,남,52세,중상
2020052800100179,2020년 5월 28일 10시,목요일,경상남도 밀양시 산외면,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 터널,특수,남,67세,상해없음,승용,남,27세,경상
2020052800100262,2020년 5월 28일 12시,목요일,경상남도 밀양시 가곡동,경상사고,0,0,1,0,차대차 - 후진중충돌,기타,건조,맑음,단일로 - 기타,화물,남,67세,상해없음,승용,여,27세,기타불명
2020052900100360,2020년 5월 29일 14시,금요일,경상남도 밀양시 무안면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,70세,상해없음,원동기,남,79세,중상
